protocol,users,cores,mem_mb,conns,target_down_mbps,down_mbps,up_mbps,cpu_pct,rss_avg_mb,rss_peak_mb,rss_anon_mb,cg_peak_mb,heap_inuse_mb,go_sys_mb,goroutines,ttfb_p50_ms,ttfb_p99_ms,dial_err,io_err,oom_kills,loadgen_cpus
shadowsocks,10000,1,512,500,131.1,131.1,16.3,67,148,160,98,115,65.6,116.4,3027,48.5,192.7,0,0,0,1-3
shadowsocks,10000,1,512,2000,524.3,200.4,63.5,99,302,486,168,442,108.2,442.2,5933,4734.6,8779.2,0,8870,0,1-3
shadowsocks,10000,2,2048,500,131.1,131.2,16.3,75,154,165,98,113,43.7,116.4,3021,11.1,46.8,0,0,0,2-3
shadowsocks,10000,2,2048,2000,524.3,425.0,65.2,196,420,506,426,463,320.7,463.1,9989,3666.5,6586.2,0,230,0,2-3
