protocol,users,cores,mem_mb,conns,target_down_mbps,down_mbps,up_mbps,cpu_pct,rss_avg_mb,rss_peak_mb,rss_anon_mb,cg_peak_mb,heap_inuse_mb,go_sys_mb,goroutines,ttfb_p50_ms,ttfb_p99_ms,dial_err,io_err,oom_kills,loadgen_cpus
vmess,10000,1,512,2000,524.3,519.0,65.3,98,280,286,236,327,149.4,246.2,12044,295.4,612.1,0,0,0,1-3
vmess,10000,1,512,5000,1310.7,21.0,53.4,54,464,487,463,512,0,,,0,0,10478,0,1 (node died),1-3
vmess,10000,2,2048,2000,524.3,524.8,65.2,123,283,290,243,331,159.3,250.3,12068,5.2,152.2,0,0,0,2-3
vmess,10000,2,2048,5000,1310.7,1260.6,161.0,186,579,596,549,655,343.0,558.5,29985,699.4,1527.7,33,0,0,2-3
