protocol,users,cores,mem_mb,conns,target_down_mbps,down_mbps,up_mbps,cpu_pct,rss_avg_mb,rss_peak_mb,rss_anon_mb,cg_peak_mb,heap_inuse_mb,go_sys_mb,goroutines,ttfb_p50_ms,ttfb_p99_ms,dial_err,io_err,oom_kills,loadgen_cpus
vmess,10000,1,512,2000,524.3,517.7,65.2,98,285,291,241,333,154.7,250.4,12082,299.9,597.9,0,0,0,1-3
vmess,10000,1,512,5000,1310.7,35.7,65.1,58,469,472,469,512,0,,,0,0,11330,415,1 (node died),1-3
vmess,10000,2,2048,2000,524.3,524.4,65.2,131,284,292,246,332,156.4,254.1,12077,8.2,165.8,0,0,0,2-3
vmess,10000,2,2048,5000,1310.7,1234.9,160.2,186,623,722,626,780,372.3,687.6,29562,1022.3,2051.8,96,0,0,2-3
