protocol,users,cores,mem_mb,conns,target_down_mbps,down_mbps,up_mbps,cpu_pct,rss_avg_mb,rss_peak_mb,rss_anon_mb,cg_peak_mb,heap_inuse_mb,go_sys_mb,goroutines,ttfb_p50_ms,ttfb_p99_ms,dial_err,io_err,oom_kills,loadgen_cpus
shadowsocks,10000,1,512,500,131.1,131.3,16.3,35,140,143,88,94,51.9,100.3,3031,0.9,8.7,0,0,0,1-3
shadowsocks,10000,1,512,2000,524.3,452.1,65.0,98,355,491,267,445,149.3,446.7,12079,490.7,5177.9,0,1709,0,1-3
shadowsocks,10000,2,2048,500,131.1,131.3,16.3,45,141,147,89,97,54.9,100.3,3035,0.7,4.7,0,0,0,2-3
shadowsocks,10000,2,2048,2000,524.3,525.8,65.2,139,315,376,259,339,149.2,335.5,12070,10.1,446.2,0,0,0,2-3
