protocol,users,cores,mem_mb,conns,target_down_mbps,down_mbps,up_mbps,cpu_pct,rss_avg_mb,rss_peak_mb,rss_anon_mb,cg_peak_mb,heap_inuse_mb,go_sys_mb,goroutines,ttfb_p50_ms,ttfb_p99_ms,dial_err,io_err,oom_kills,loadgen_cpus
shadowsocks,10000,1,512,500,131.1,131.4,16.3,43,144,156,89,105,66.2,104.1,3029,2.8,62.8,0,0,0,1-3
shadowsocks,10000,1,512,2000,524.3,125.6,38.3,-47,356,558,0,512,0,,,4354.4,7388.0,177294,6829,1 (node died),1-3
shadowsocks,10000,2,2048,500,131.1,130.9,16.3,49,145,150,91,111,52.9,108.3,3035,1.9,30.0,0,0,0,2-3
shadowsocks,10000,2,2048,2000,524.3,466.6,65.1,183,394,545,277,501,161.6,501.7,12047,195.5,4932.7,0,535,0,2-3
