protocol,users,cores,mem_mb,conns,target_down_mbps,down_mbps,up_mbps,cpu_pct,rss_avg_mb,rss_peak_mb,rss_anon_mb,cg_peak_mb,heap_inuse_mb,go_sys_mb,goroutines,ttfb_p50_ms,ttfb_p99_ms,dial_err,io_err,oom_kills,loadgen_cpus
shadowsocks,10000,1,512,500,131.1,126.9,16.3,96,154,195,94,143,69.0,145.4,2819,679.3,1805.1,0,0,0,1-3
shadowsocks,10000,1,512,2000,524.3,117.1,63.3,99,260,407,190,359,94.4,360.1,4078,6354.8,12528.6,0,12349,0,1-3
shadowsocks,10000,2,2048,500,131.1,131.0,16.3,112,161,174,101,127,64.8,129.2,3023,40.0,157.9,0,0,0,2-3
shadowsocks,10000,2,2048,2000,524.3,214.5,64.3,195,400,495,267,450,153.1,451.2,6066,6098.9,13329.5,0,5512,0,2-3
