protocol,users,cores,mem_mb,conns,target_down_mbps,down_mbps,up_mbps,cpu_pct,rss_avg_mb,rss_peak_mb,rss_anon_mb,cg_peak_mb,heap_inuse_mb,go_sys_mb,goroutines,ttfb_p50_ms,ttfb_p99_ms,dial_err,io_err,oom_kills,loadgen_cpus
shadowsocks,10000,1,512,500,131.1,131.3,16.3,39,143,146,89,101,59.3,108.1,3031,2.1,39.4,0,0,0,1-3
shadowsocks,10000,1,512,2000,524.3,404.2,64.8,98,348,490,292,449,187.0,446.0,11992,2677.6,5794.1,0,2849,0,1-3
shadowsocks,10000,2,2048,500,131.1,131.4,16.3,48,144,153,89,101,47.7,104.5,3030,1.6,22.1,0,0,0,2-3
shadowsocks,10000,2,2048,2000,524.3,522.9,65.2,160,315,358,258,325,175.6,323.1,12070,36.6,667.3,0,0,0,2-3
