2026/09/24 15:18:46 t=  5s active=125 dials=125 errs=0/0 down=2.1MB/s up=0.3MB/s
2026/09/24 15:18:51 t= 10s active=250 dials=250 errs=0/0 down=6.1MB/s up=0.8MB/s
2026/09/24 15:18:56 t= 15s active=375 dials=389 errs=0/0 down=10.2MB/s up=1.3MB/s
2026/09/24 15:19:01 t= 20s active=500 dials=573 errs=0/0 down=14.2MB/s up=1.8MB/s
2026/09/24 15:19:06 t= 25s active=500 dials=649 errs=0/0 down=16.5MB/s up=2.0MB/s
2026/09/24 15:19:11 t= 30s active=500 dials=754 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:19:16 t= 35s active=500 dials=881 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:19:21 t= 40s active=500 dials=1024 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:19:26 t= 45s active=500 dials=1161 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:19:31 t= 50s active=500 dials=1283 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:19:36 t= 55s active=500 dials=1397 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:19:41 t= 60s active=500 dials=1532 errs=0/0 down=16.4MB/s up=2.0MB/s
