protocol,users,cores,mem_mb,conns,target_down_mbps,down_mbps,up_mbps,cpu_pct,rss_avg_mb,rss_peak_mb,rss_anon_mb,cg_peak_mb,heap_inuse_mb,go_sys_mb,goroutines,ttfb_p50_ms,ttfb_p99_ms,dial_err,io_err,oom_kills,loadgen_cpus
vmess,10000,1,512,2000,524.3,524.3,65.3,92,291,300,247,336,149.1,257.9,12044,5.6,246.3,0,0,0,1-3
vmess,10000,1,512,5000,1310.7,224.2,37.5,-41,475,532,0,512,0,,,641.0,3894.8,845046,4991,1 (node died),1-3
vmess,10000,2,2048,2000,524.3,524.9,65.2,110,291,299,246,259,156.8,253.8,12064,1.1,79.9,0,0,0,2-3
vmess,10000,2,2048,5000,1310.7,1269.7,161.2,176,572,611,558,590,365.1,568.2,29166,466.7,1237.0,39,0,0,2-3
